universe,strategy,checkpoint,mean,std,se,ci_lo,ci_hi,boot_lo,boot_hi,wasted_mean,wasted_frac
sv_me,best,10,83.8720,3.3634,0.0752,83.7246,84.0194,83.7190,84.0170,0.0000,0.0000
sv_me,best,50,332.9460,8.5247,0.1906,332.5724,333.3196,332.5750,333.3100,0.0060,0.0001
sv_me,best,200,724.1210,9.9970,0.2235,723.6829,724.5591,723.7080,724.5675,12.2110,0.0611
sv_me,best,1000,930.1285,2.2831,0.0511,930.0284,930.2286,930.0325,930.2290,646.3960,0.6464
sv_me,random,10,76.8500,4.4753,0.1001,76.6539,77.0461,76.6490,77.0470,0.0000,0.0000
sv_me,random,50,310.9460,9.8994,0.2214,310.5121,311.3799,310.5065,311.3745,0.0560,0.0011
sv_me,random,200,692.0395,12.1406,0.2715,691.5074,692.5716,691.4995,692.5640,16.8065,0.0840
sv_me,random,1000,917.1690,3.7234,0.0833,917.0058,917.3322,917.0065,917.3260,646.5865,0.6466
sv_me,least,10,78.3380,4.0751,0.0911,78.1594,78.5166,78.1535,78.5110,0.0000,0.0000
sv_me,least,50,318.9925,8.4297,0.1885,318.6231,319.3619,318.6300,319.3470,0.0360,0.0007
sv_me,least,200,700.4520,10.2601,0.2294,700.0023,700.9017,699.9960,700.9010,15.9120,0.0796
sv_me,least,1000,918.1575,3.5060,0.0784,918.0038,918.3112,917.9895,918.3130,648.4310,0.6484
all,best,10,87.5440,3.6175,0.0809,87.3855,87.7025,87.3800,87.7130,0.0000,0.0000
all,best,50,349.6310,8.1251,0.1817,349.2749,349.9871,349.2585,350.0045,0.0010,0.0000
all,best,200,774.6910,10.3495,0.2314,774.2374,775.1446,774.2160,775.1285,9.0960,0.0455
all,best,1000,1020.0800,3.2348,0.0723,1019.9382,1020.2218,1019.9450,1020.2225,614.0860,0.6141
all,random,10,74.5585,4.7011,0.1051,74.3525,74.7645,74.3535,74.7785,0.0000,0.0000
all,random,50,293.7085,10.9631,0.2451,293.2280,294.1890,293.2200,294.2095,0.1325,0.0027
all,random,200,650.7845,14.7006,0.3287,650.1402,651.4288,650.1250,651.4325,21.3325,0.1067
all,random,1000,949.8750,7.8470,0.1755,949.5311,950.2189,949.5295,950.2150,612.6120,0.6126
all,least,10,75.1605,4.4783,0.1001,74.9642,75.3568,74.9595,75.3625,0.0000,0.0000
all,least,50,298.7565,9.9137,0.2217,298.3220,299.1910,298.3000,299.1765,0.0595,0.0012
all,least,200,661.9585,11.2221,0.2509,661.4667,662.4503,661.4820,662.4710,20.7445,0.1037
all,least,1000,952.6125,6.4155,0.1435,952.3313,952.8937,952.3420,952.9060,616.1920,0.6162
